text,num
manage,64
approach,64
branch,64
destroy,64
dirty,64
desert,64
certain,64
whatever,64
structure,64
survival,64
leather,64
loud,64
label,64
item,63
error,63
excellent,63
recovery,63
bind,63
male,63
contemporary,63
alternative,63
maintenance,63
device,63
deserve,63
penalty,63
instruction,63
abuse,63
dangerous,63
operate,63
sight,63
employee,63
finally,62
toward,62
ability,62
extract,62
transfer,62
quiet,62
spend,62
benefit,62
wet,62
sometimes,62
blind,62
trace,61
update,61
stranger,61
sheep,61
frame,61
domestic,61
jump,61
teach,61
trick,61
although,61
nose,61
flood,61
trial,61
highly,61
mental,60
mess,60
expect,60
treatment,60
leadership,60
especially,60
liberal,60
various,60
dare,60
religion,60
pose,60
occupy,60
odd,60
finance,60
increase,60
aim,59
filter,59
presence,59
profile,59
everybody,59
priority,59
dust,59
silence,59
anywhere,59
apart,59
truly,58
competition,58
schedule,58
carefully,58
bomb,58
democratic,58
lip,58
exposure,58
shadow,58
seek,58
evidence,58
secure,58
figure,58
husband,57
strategy,57
scientific,57
input,57
method,57
remote,57
advice,57
passenger,57
dish,57
probably,56
shape,56
formation,56
primary,56
nearly,56
consider,56
index,56
theme,56
silent,56
fellow,56
former,56
boost,56
autumn,56
growth,56
presentation,56
reform,56
resist,56
import,56
poverty,56
effective,56
height,56
veteran,55
bend,55
plane,55
soil,55
reject,55
grass,55
sake,55
equally,55
hide,55
disease,55
passage,55
object,55
designer,55
reduce,55
luxury,55
poetry,55
factor,54
finger,54
potential,54
pound,54
receive,54
physical,54
female,54
install,54
institution,54
aircraft,54
fold,54
publication,54
quickly,54
loose,54
achievement,53
tear,53
rare,53
imagination,53
thirst,53
anger,53
opinion,53
engineer,53
bury,53
gain,53
guitar,53
sheet,53
example,52
angry,52
completely,52
actual,52
additional,52
manner,52
deposit,52
afternoon,52
wise,52
agenda,52
friendship,52
funny,52
measure,52
initiative,52
facility,51
creation,51
twice,51
exhibit,51
survive,51
talent,51
catalog,51
assistance,51
length,50
permit,50
printer,50
honest,50
professor,50
childhood,50
correct,50
cigarette,50
population,50
cope,50
perhaps,50
sector,50
neck,50
darkness,50
actually,49
bottom,49
loan,49
stress,49
twist,49
earn,49
speech,49
newspaper,49
committee,49
spin,49
damage,49
philosophy,49
unless,48
tourism,48
rule,48
landscape,48
prepare,48
immediately,48
chain,48
partnership,48
rural,48
propose,48
fortune,48
couple,48
pipe,47
pig,47
muscle,47
maybe,47
trap,47
gentle,47
surprise,47
tender,47
therefore,47
properly,47
academic,47
grab,47
incident,47
swing,47
tend,47
stable,47
snap,46
mere,46
perfectly,46
praise,46
ceremony,46
consumer,46
supplement,46
lecture,46
inspire,46
educational,46
ordinary,46
breath,46
illegal,46
stretch,46
convince,45
solve,45
usually,45
format,45
suit,45
sexual,45
license,45
folk,45
lesson,45
capture,45
resident,45
accident,45
inner,45
replace,45
chairman,45
critical,45
extension,44
debate,44
innocent,44
religious,44
proportion,44
percent,44
thick,44
presidential,44
airline,44
invest,44
vary,44
necessary,44
skill,44
individual,44
awareness,44
crop,44
task,44
analysis,44
busy,44
electricity,43
crowd,43
chart,43
resource,43
claim,43
clearly,43
stroke,43
relation,43
episode,43
identity,43
harm,43
witness,43
condition,43
principal,43
similar,43
agricultural,43
temperature,43
weapon,43
discussion,43
visible,43
independence,43
compose,43
compete,43
plot,42
degree,42
breast,42
moral,42
neighborhood,42
wage,42
massive,42
scare,42
firm,42
context,42
afraid,42
realize,42
distant,42
parent,42
breathe,42
perform,42
shelter,42
civilian,41
reply,41
angle,41
usual,41
decade,41
behavior,41
directly,41
chemical,41
vital,41
achieve,41
currently,41
stream,41
bless,41
shower,41
promotion,41
neither,41
experimental,41
confidence,41
promote,40
construct,40
brush,40
mutual,40
stir,40
environmental,40
govern,40
summary,40
carpet,40
concentration,40
survey,40
creature,40
audience,40
romantic,40
impress,39
gender,39
reporter,39
pleasant,39
forth,39
possess,39
gentleman,39
huge,39
somewhere,39
struggle,39
arrival,39
sink,39
scheme,39
barrier,39
slice,39
actor,39
firstly,38
yesterday,38
reflect,38
uncle,38
generally,38
fancy,38
minimum,38
debt,38
statement,38
easily,38
shoulder,38
alter,38
personnel,38
resistance,38
accommodation,38
intervention,38
literary,38
investment,38
interaction,38
effort,38
overseas,37
stake,37
initial,37
secondary,37
shout,37
enemy,37
plenty,37
situation,37
worry,37
relax,37
knock,37
conventional,37
extraordinary,37
organize,37
concrete,37
warn,37
coin,37
mistake,37
addition,37
aware,36
therapy,36
assess,36
comprehensive,36
combination,36
stare,36
recognition,36
laboratory,36
injury,36
extremely,36
pray,36
indeed,36
portrait,36
classical,36
climb,36
decide,36
remain,36
farmer,36
previous,36
rely,36
sigh,36
inform,36
decision,35
discuss,35
invitation,35
rank,35
maintain,35
pattern,35
repeat,35
overall,35
exercise,35
dramatic,35
document,35
automatically,35
symbol,35
notion,35
pension,35
likely,35
welfare,35
successful,35
combine,35
perspective,35
household,35
mostly,35
cheap,34
particular,34
participation,34
assessment,34
profit,34
description,34
disaster,34
concentrate,34
counsel,34
glad,34
satisfaction,34
leap,34
originally,34
criticism,34
logic,34
background,34
appearance,34
influence,34
experiment,34
latter,34
delay,34
suitable,34
accurate,34
chest,34
separate,33
abortion,33
observe,33
bedroom,33
wooden,33
tension,33
ugly,33
resolution,33
scope,33
slave,33
mathematics,33
producer,33
apartment,33
favor,33
improvement,33
specific,33
silly,33
wrap,33
peer,33
attend,33
steal,33
associate,33
surgery,33
preserve,33
tissue,32
somebody,32
scholar,32
throat,32
threat,32
reduction,32
scream,32
reverse,32
temporary,32
slowly,32
reveal,32
layer,32
province,32
agree,32
explain,32
objective,32
occasion,32
efficient,32
instance,32
constant,32
multiple,32
interview,32
precise,31
respond,31
database,31
entirely,31
importance,31
cooperation,31
representative,31
nobody,31
valuable,31
pitch,31
expression,31
spare,31
yield,31
freeze,31
merely,31
suppose,31
remarkable,31
radical,31
guilty,31
represent,31
engage,31
payment,31
troop,30
guarantee,30
relative,30
float,30
emotional,30
tournament,30
bunch,30
stomach,30
membership,30
partly,30
moderate,30
advantage,30
confirm,30
agreement,30
income,30
jail,30
enhance,30
bloody,30
gently,30
instrument,30
broadcast,30
retirement,30
employment,30
conduct,30
wealth,30
slip,30
contrast,30
require,29
conflict,29
negative,29
coverage,29
unemployment,29
stamp,29
comfortable,29
constantly,29
revenue,29
ensure,29
terrible,29
scientist,29
describe,29
exist,29
difficult,29
graduate,29
technique,29
attitude,29
violent,29
reliable,29
evaluation,29
mature,29
wound,29
pregnancy,29
interpretation,29
panic,28
doubt,28
constitute,28
arrange,28
approve,28
wherever,28
recall,28
absolutely,28
greatly,28
abstract,28
patient,28
regularly,28
failure,28
hardly,28
owe,28
capable,28
preparation,28
proceed,28
voter,28
illness,28
newly,28
extend,28
destruction,28
lend,28
output,28
pollution,28
territory,27
expense,27
nurse,27
invent,27
despite,27
invite,27
locate,27
seriously,27
consult,27
dozen,27
jacket,27
nowhere,27
parallel,27
humor,27
column,27
perception,27
relationship,27
assist,27
terrorist,26
suddenly,26
obligation,26
prefer,26
regard,26
contribution,26
convert,26
immediate,26
appeal,26
supporter,26
demonstration,26
tight,26
particularly,26
assistant,26
adjust,26
depression,26
commitment,26
random,26
useful,25
dialog,25
athlete,25
damn,25
brief,25
dependent,25
holder,25
surely,25
keen,25
arrest,25
bother,25
educate,25
previously,25
divide,25
trend,25
grateful,25
careful,25
trigger,25
personality,25
recently,25
tooth,25
publisher,25
continuous,25
opposite,25
tongue,25
stupid,25
suffer,25
empty,25
false,25
absolute,25
whenever,25
confident,25
quote,25
swear,24
profession,24
establishment,24
smell,24
affair,24
announce,24
severe,24
segment,24
impossible,24
permission,24
mixture,24
steady,24
cough,24
motivation,24
responsible,24
formal,24
phase,24
clinical,24
frequently,24
split,24
victim,24
gather,24
spell,24
personally,23
closely,23
suggestion,23
integrate,23
responsibility,23
uniform,23
coat,23
joke,23
certainly,23
satisfy,23
majority,23
consist,23
unlike,23
participate,23
fence,23
defeat,23
servant,23
breed,23
laughter,23
frequent,23
ought,23
belong,23
functional,23
versus,23
strain,23
hurt,23
currency,23
insight,22
gaze,22
slightly,22
inquiry,22
excuse,22
reaction,22
compound,22
depth,22
intention,22
poet,22
overcome,22
unusual,22
reputation,22
vast,22
pretend,22
nearby,22
voluntary,22
definitely,22
depend,22
commit,22
wipe,22
succeed,22
proposal,22
disturb,22
refuse,22
enable,22
quietly,22
anymore,22
afford,21
possibly,21
horrible,21
biological,21
atmosphere,21
prisoner,21
attraction,21
category,21
anxious,21
habit,21
pile,21
nervous,21
shade,21
institutional,21
judgment,21
ethnic,21
sentence,21
infant,21
transition,21
crack,21
deeply,21
contribute,21
topic,21
conservative,21
otherwise,21
familiar,21
fundamental,20
cousin,20
besides,20
exception,20
arrive,20
determine,20
approximately,20
emotion,20
frequency,20
affect,20
entertain,20
exactly,20
lazy,20
skirt,20
isolate,20
premise,20
neighbor,20
identify,20
margin,20
ratio,20
virus,19
narrative,19
significant,19
beneath,19
mortgage,19
refugee,19
module,19
suggest,19
embrace,19
illustration,19
intend,19
appreciate,19
increasingly,19
routine,19
sequence,19
attempt,19
exhaust,19
infection,19
unable,19
extent,19
poem,19
possibility,19
stain,19
conclusion,19
manufacturer,19
boundary,19
aunt,19
generate,19
hurry,19
investigation,18
basis,18
external,18
composition,18
typical,18
observation,18
consultant,18
remind,18
blame,18
indicate,18
intellectual,18
bore,18
transform,18
phenomenon,18
exam,18
strongly,18
component,18
prompt,18
procedure,18
efficiency,18
recover,18
accord,18
deny,18
jury,18
provision,18
greet,18
prospect,18
knife,18
decline,18
distinct,18
declare,18
attract,18
restrict,17
rival,17
literally,17
sweep,17
rapidly,17
ultimately,17
insure,17
participant,17
establish,17
discipline,17
dimension,17
impressive,17
genetic,17
representation,17
appropriate,17
virtually,17
relevant,17
fault,17
expose,17
expansion,17
attractive,17
alright,17
encourage,17
outcome,17
disorder,16
knee,16
sustain,16
definition,16
noun,16
structural,16
largely,16
complexity,16
narrow,16
emerge,16
abandon,16
complain,16
beside,16
grin,16
yeah,16
racial,16
adopt,16
recommend,16
slight,16
fragment,16
forecast,16
flexible,16
principle,16
vessel,16
expensive,16
excess,16
indication,16
cite,16
employer,15
gesture,15
amendment,15
surround,15
advertise,15
eventually,15
consistent,15
density,15
accuse,15
define,15
aside,15
competitive,15
decrease,15
communicate,15
preference,15
imply,15
impression,15
attendance,15
abroad,15
critic,15
stability,15
hence,15
drag,15
tackle,15
exact,15
collapse,14
absence,14
limitation,14
recognize,14
variable,14
urge,14
whilst,14
anxiety,14
reflection,14
compromise,14
weak,14
divorce,14
dedicate,14
assume,14
curve,14
curtain,14
nerve,14
okay,14
normally,14
argument,14
sanction,14
existence,14
fairly,14
submit,14
immigrant,14
historian,14
eliminate,14
explanation,14
supplier,14
investor,14
fade,14
sensitive,14
shelf,13
requirement,13
asset,13
resign,13
numerous,13
manufacture,13
detect,13
envelope,13
pregnant,13
possession,13
equation,13
offense,13
ownership,13
whisper,13
specifically,13
settle,13
crucial,13
allege,13
suspect,13
suspend,13
encounter,13
obvious,13
arise,12
quantity,12
outline,12
depress,12
wealthy,12
widely,12
necessarily,12
apparently,12
substantial,12
sudden,12
successfully,12
retire,12
altogether,12
deficit,12
weigh,12
comprise,12
privilege,12
barely,12
hint,12
refer,12
exceed,12
mainly,12
expand,12
regulation,12
apparent,12
grammar,12
effectively,12
consequence,12
anybody,12
enormous,11
oppose,11
strict,11
substance,11
retain,11
equivalent,11
anyway,11
musician,11
introduce,11
appointment,11
dominate,11
distinguish,11
reasonable,11
relatively,11
acquire,11
differently,11
gradually,11
adviser,11
alongside,11
glance,11
settlement,11
resolve,11
evolve,11
charm,11
cheek,11
weakness,11
examine,10
revise,10
specialize,10
belief,10
translate,10
relate,10
estimate,10
buyer,10
wander,10
regret,10
burst,10
opposition,10
extensive,10
pursue,10
distinction,10
advertisement,10
advocate,10
journalist,10
adequate,10
differ,10
involve,10
helpful,10
salary,10
admire,10
whereas,10
confusion,10
occur,9
phrase,9
analyze,9
regulate,9
employ,9
examination,9
slope,9
remark,9
somewhat,9
demonstrate,9
moreover,9
mechanism,9
implementation,9
somehow,9
excitement,9
unclear,9
comparison,9
accompany,9
grandmother,9
essay,9
insist,9
strengthen,9
dispute,9
analyst,8
capability,8
calculate,8
consideration,8
subsequently,8
minority,8
ignore,8
compensation,8
incentive,8
tendency,8
specify,8
borrow,8
basically,8
recommendation,8
criterion,8
approval,8
attach,8
regardless,8
unfortunately,8
confuse,8
elderly,8
disappear,8
announcement,8
determination,8
assure,8
bias,8
considerable,8
predict,7
verb,7
legislation,7
impose,7
stimulate,7
firmly,7
characteristic,7
excite,7
appoint,7
restriction,7
neglect,7
ruin,7
apologize,7
threaten,7
initially,7
recruit,7
fortunate,7
sufficient,7
involvement,7
undergo,7
implement,7
conclude,7
aggressive,7
highlight,6
fulfill,6
qualify,6
amaze,6
hypothesis,6
framework,6
ashamed,6
acquisition,6
arrangement,6
symptom,6
politician,6
investigate,6
precisely,6
dramatically,6
difficulty,6
measurement,6
occasionally,6
circumstance,6
react,6
uncertainty,6
burden,6
upset,6
briefly,6
heavily,6
significantly,6
primarily,6
similarly,5
justify,5
probability,5
typically,5
correspond,5
controversial,5
clause,5
obviously,5
situate,5
illustrate,5
behave,5
psychological,5
competitor,5
paragraph,5
complaint,5
stair,5
complicate,5
incorporate,5
expectation,5
admit,5
attachment,5
inflation,5
rarely,5
assign,5
badly,5
meanwhile,5
acceptable,5
frighten,4
consequently,4
liability,4
roughly,4
disagree,4
reasonably,4
adjustment,4
motivate,4
subsequent,4
awful,4
perceive,4
unlikely,4
percentage,4
faithfully,4
variation,4
statistic,3
teenager,3
elsewhere,3
derive,3
reckon,3
respectively,3
adapt,3
surprisingly,3
modify,3
theoretical,3
furthermore,3
criticize,3
implication,3
nowadays,3
entitle,3
lawyer,3
opponent,3
significance,3
nevertheless,3
potentially,3
injure,3
substitute,3
argue,3
acknowledge,2
exclude,2
assumption,2
distribute,2
devote,2
attribute,2
hesitate,2
accomplish,2
dismiss,2
pupil,2
undertake,2
advise,2
qualification,2
anticipate,2
colleague,2
evaluate,2
negotiation,2
underlie,2
emphasize,2
emphasis,2
shareholder,1
summarize,1
persuade,1
withdraw,1
presumably,1
expenditure,1
guideline,1
interpret,1
disappoint,1
